Region;Cases;Cases_per_100000;Deaths;Deaths_per_100000
Moscow;3004574;"24024,2";45021;360
St. Petersburg;1643570;"30709,8";34651;"647,4"
Moscow region;1049595;"13988,3";15256;"203,3"
Sverdlovsk region;465586;"10764,4";10800;"249,7"
Nizhny Novgorod Region;439213;"13577,9";11623;"359,3"
Voronezh region;405503;"17375,5";8371;"358,7"
Samara Region;402556;"12605,4";7954;"249,1"
Rostov region;398409;9440;10972;260
Perm region;386047;"14717,1";8863;"337,9"
Krasnoyarsk region;382123;"13284,3";10940;"380,3"
Chelyabinsk region;344671;"9867,4";7854;"224,8"
Irkutsk region;311139;"12941,5";8515;"354,2"
Republic of Bashkortostan;297061;"7310,8";5784;"142,3"
Altai region;278714;"11859,8";8716;"370,9"
Krasnodar region;287693;"5134,2";11000;"196,3"
Novosibirsk region;268454;9626;5703;"204,5"
Saratov region;262126;"10642,8";6001;"243,7"
Arhangelsk region;242031;"21784,4";1768;"159,1"
Volgograd region;233807;"9273,4";6900;"273,7"
Orenburg region;222903;"11270,7";4027;"203,6"
Khanty-Mansi Autonomous Okrug;219863;"13284,2";2559;"154,6"
Omsk region;216287;"11034,6";4448;"226,9"
Ulyanovsk region;208333;"16711,9";4732;"379,6"
Khabarovsk region;208323;"15683,4";1560;"117,4"
Stavropol region;209766;"7489,8";7098;"253,4"
Tyumen region;204598;13651;4341;"289,6"
Leningrad region;207162;"11421,3";3496;"192,7"
Vologodskaya Oblast;196480;"16697,7";3880;"329,7"
Penza region;193005;"14493,6";6032;453
Republic of Crimea;192792;"10074,1";5360;"280,1"
The Republic of Sakha (Yakutia);193326;"20047,7";2127;"220,6"
Primorsky region;188767;"9867,4";1966;"102,8"
Komi Republic;175154;20830;3204;381
Kaliningrad region;176149;"17710,6";1946;"195,7"
Zabaykalsky region;173276;"16151,7";2351;"219,1"
Kemerovo region;177078;"6570,9";2572;"95,4"
Udmurt republic;172826;"11422,4";3856;"254,9"
Yaroslavl region;167227;"13212,4";2830;"223,6"
Tver region;169139;"13174,1";2760;215
Bryansk region;169114;13965;4057;335
Tula region;169331;"11350,4";5274;"353,5"
Lipetsk region;158584;"13787,5";3819;332
Republic of Tatarstan;156418;"4016,6";2000;"51,4"
Vladimir region;155603;"11289,2";3507;"254,4"
Kirov region;154491;"12039,2";1057;"82,4"
Republic of Karelia;142425;"22880,1";1524;"244,8"
The Republic of Buryatia;142619;"14486,3";3049;"309,7"
Yamalo-Nenets Autonomous Okrug;139511;"25905,1";1043;"193,7"
Murmansk region;136655;"18134,7";3342;"443,5"
Tomsk region;137179;12722;885;"82,1"
Belgorod region;138147;"8913,4";2282;"147,2"
Smolensk region;135792;"14303,7";3101;"326,6"
Ryazan region;130341;"11622,3";3419;"304,9"
Astrakhan region;123595;"12146,8";3046;"299,4"
Kursk region;124811;"11191,4";2502;"224,3"
Tambov Region;120529;"11661,6";2462;"238,2"
Oryol Region;118154;"15811,9";1940;"259,6"
Ivanovo region;114866;"11320,8";3152;"310,7"
Pskov region;114929;"18055,1";1893;"297,4"
Amur region;111769;"13998,7";764;"95,7"
Kaluga region;109348;"10803,5";1453;"143,6"
Kurgan region;107143;"12671,6";1445;"170,9"
Novgorod region;104721;"17267,1";1039;"171,3"
The Republic of Dagestan;97074;"3168,3";3599;"117,5"
Kostroma region;91409;"14208,9";1414;"219,8"
The Republic of Khakassia;91513;"17025,3";2416;"449,5"
Sevastopol;88906;20360;2421;"554,4"
Chuvash Republic;87233;"7085,7";4661;"378,6"
The Republic of Mordovia;71733;"8910,3";1395;"173,3"
Sakhalin region;66001;"13464,6";828;"168,9"
Kabardino-Balkarian Republic;65219;"7532,6";1891;"218,4"
Republic of Kalmykia;55179;20035;843;"306,1"
Republic of Adygea;50530;"11145,3";1004;"221,4"
Karachay-Cherkess Republic;46929;10064;984;211
Mari El Republic;45802;"6712,6";1087;"159,3"
Tyva Republic;48439;"15056,2";353;"109,7"
Chechen Republic;45229;"3147,5";1076;"74,9"
Republic of North Ossetia - Alania;42292;"6026,5";1258;"179,3"
The Republic of Ingushetia;41573;"8518,3";550;"112,7"
Kamchatka region;41799;"13246,1";617;"195,5"
Altai Republic;37109;"17017,6";622;"285,2"
Magadan Region;20210;"14025,9";390;"270,7"
Jewish Autonomous Region;19881;"12271,2";556;"343,2"
Nenets Autonomous Okrug;7510;"17069,3";101;"229,6"
Chukotka Autonomous Okrug;6095;"12351,1";42;"85,1"
